Amount,Amount Paid To,Label,ToD,Date,Month,Year,Time,Mode,Notes
,,,,23/05/2025,May,2025,,,
₹50.00,,Food,,23/05/2025,May,2025,,CC,
₹30.00,,Food,,23/05/2025,May,2025,,CC,
₹46.00,,Commute,,23/05/2025,May,2025,,CC,
₹80.00,,Commute,,21/05/2025,May,2025,,CC,
₹341.00,,Commute,,21/05/2025,May,2025,,CC,
₹15.00,,Food,,21/05/2025,May,2025,,CC,
₹213.00,,Commute,,20/05/2025,May,2025,,Debit,
₹116.00,,Commute,,20/05/2025,May,2025,,Debit,
₹93.00,,Food,,19/05/2025,May,2025,,CC,
₹76.00,,Commute,,19/05/2025,May,2025,,CC,
₹279.00,,Commute,,19/05/2025,May,2025,,Debit,
₹183.00,,Bills,,19/05/2025,May,2025,,Debit,
₹167.00,,Food,,18/05/2025,May,2025,,CC,
₹183.00,,Commute,,18/05/2025,May,2025,,Debit,
₹332.00,,Commute,,18/05/2025,May,2025,,Debit,
₹20.00,,Food,,18/05/2025,May,2025,,CC,
₹177.00,,Commute,,18/05/2025,May,2025,,Debit,
₹57.00,,Commute,,18/05/2025,May,2025,,Debit,
₹100.00,,Food,,17/05/2025,May,2025,,CC,
₹394.00,,Grocery,,17/05/2025,May,2025,,Debit,
₹75.00,,Commute,,16/05/2025,May,2025,,Debit,
₹322.00,,Commute,,16/05/2025,May,2025,,Debit,
₹120.00,,Food,,16/05/2025,May,2025,,CC,
₹30.00,,Food,,16/05/2025,May,2025,,CC,
₹60.00,,Food,,16/05/2025,May,2025,,Debit,
₹40.00,,Food,,16/05/2025,May,2025,,CC,
₹58.00,,Commute,,16/05/2025,May,2025,,Debit,
₹98.00,,Commute,,15/05/2025,May,2025,,Debit,
₹80.00,,Food,,15/05/2025,May,2025,,CC,
₹49.00,,Commute,,15/05/2025,May,2025,,CC,
₹104.00,,Commute,,15/05/2025,May,2025,,CC,
₹75.00,,Commute,,14/05/2025,May,2025,,Debit,
₹308.00,,Commute,,14/05/2025,May,2025,,Debit,
₹60.00,,Food,,14/05/2025,May,2025,,CC,
₹20.00,,Food,,14/05/2025,May,2025,,CC,
₹58.00,,Commute,,14/05/2025,May,2025,,Debit,
₹75.00,,Commute,,13/05/2025,May,2025,,Debit,
₹251.00,,Commute,,13/05/2025,May,2025,,Debit,
₹115.00,,Food,,13/05/2025,May,2025,,CC,
₹50.00,,Commute,,13/05/2025,May,2025,,Debit,
₹238.00,,Food,,13/05/2025,May,2025,,CC,
₹208.00,,Commute,,12/05/2025,May,2025,,Debit,
₹182.00,,Food,,11/05/2025,May,2025,,Debit,
₹100.00,,Food,,11/05/2025,May,2025,,Debit,
₹216.57,,✨,,11/05/2025,May,2025,,Debit,
₹280.32,,✨,,11/05/2025,May,2025,,Debit,
₹62.00,,Food,,11/05/2025,May,2025,,CC,
₹180.00,,Grocery,,10/05/2025,May,2025,,CC,
₹93.00,,Food,,10/05/2025,May,2025,,CC,
₹89.00,,Commute,,09/05/2025,May,2025,,Debit,
₹210.00,,Commute,,09/05/2025,May,2025,,Debit,
₹109.00,,Commute,,09/05/2025,May,2025,,CC,
₹30.00,,Food,,09/05/2025,May,2025,,CC,
₹40.00,,Food,,08/05/2025,May,2025,,CC,
₹499.00,,Shopping,,07/05/2025,May,2025,,Debit,
₹72.00,,Food,,06/05/2025,May,2025,,CC,
₹77.00,,Commute,,06/05/2025,May,2025,,Debit,
₹109.00,,Commute,,06/05/2025,May,2025,,Debit,
₹50.00,,Commute,,06/05/2025,May,2025,,Debit,
₹210.00,,Food,,06/05/2025,May,2025,,Debit,
₹132.00,,Commute,,05/05/2025,May,2025,,Debit,
₹539.00,,Shopping,,05/05/2025,May,2025,,Debit,
₹187.00,,Commute,,05/05/2025,May,2025,,Debit,
₹135.00,,Food,,05/05/2025,May,2025,,CC,
₹46.00,,Commute,,05/05/2025,May,2025,,Debit,
₹20.00,,Food,,04/05/2025,May,2025,,CC,
₹665.00,,Food,,04/05/2025,May,2025,,CC,
₹60.00,,Food,,04/05/2025,May,2025,,CC,
